numer,imię i nazwisko,status,pozycja,narodowość,flaga,data urodzenia,wiek,mecze,minuty,gole,asysty,żółte kartki,czerwone kartki,kanadyjka,gole samobójcze,asysta 2. stopnia,sprokurowany karny,wywalczony karny,karny,niestrzelony karny,główka,lewa,prawa,czyste konta,obronione karne
1,Konrad Forenc,,bramkarz,Polska,,17.07.1992,33,25,2217,0,,1,,0,,,,,,,,,,"6,63",
2,Łukasz Kabaj,(M),obrońca,Polska,,13.02.2006,20,2,86,0,,,,0,,,,,,,,,,,
2,Kamil Sochań,,obrońca,Polska,,04.02.2004,22,13,1134,2,,4,,2,,,,,,,1,,1,,
3,Daniel Dziwniel,,obrońca,Polska /Niemcy,,19.08.1992,33,14,914,0,2,1,,2,,,,,,,,,,,
4,Marcin Biernat,,obrońca,Polska,,28.05.1992,34,31,2570,9,2,11,1,11,,4,,1,8,,,,9,,
6,Mateusz Kizyma,,pomocnik,Polska,,08.07.2002,23,35,2517,2,7,7,,9,,5,,,,,,,2,,
7,Maksymilian Sitek,,pomocnik,Polska,,04.12.2000,25,34,2435,5,3,3,,8,1,1,,1,,,,2,3,,
8,Dalibor Takáč,,pomocnik,Słowacja,,11.10.1997,28,34,1786,3,5,5,,8,,1,,,,,,,3,,
9,Maciej Górski,,napastnik,Polska,,01.03.1990,36,30,1544,5,1,6,,6,,,,1,,,2,1,2,,
10,Wojciech Szumilas,,pomocnik,Polska,,07.11.1996,29,16,900,3,,3,,3,,2,,,,,,3,,,
10,Radosław Kanach,,pomocnik,Polska,,03.04.1999,27,15,756,0,,4,,0,,,,,,,,,,,
11,Oskar Zawada,(M),pomocnik,Polska,,17.11.2006,19,13,612,2,,4,,2,,,,,,,,1,1,,
13,Dawid Ściuk,(M),obrońca,Polska,,30.06.2005,20,13,606,0,,2,,0,,,,,,,,,,,
14,Marcin Urynowicz,,pomocnik,Polska,,16.03.1996,30,32,2330,6,1,9,,7,,2,,,,,1,2,3,,
16,Piotr Szumiński,(M),obrońca,Polska,,13.07.2006,19,1,90,0,,1,,0,,,,,,,,,,,
17,Jan Majsterek,,obrońca,Polska,,09.06.2000,26,24,2061,2,,5,,2,,,,,,,,1,1,,
18,Grzegorz Janusz,(M),napastnik,Polska,,08.05.2006,20,1,10,0,,,,0,,,,,,,,,,,
20,Kacper Piątek,,pomocnik,Polska,,22.10.2000,25,11,319,0,1,,,1,,,,,,,,,,,
21,Krzysztof Kolanko,(M),pomocnik,Polska,,03.08.2006,19,31,2022,2,4,6,,6,,1,,3,,,,1,1,,
22,Kacper Gach,,obrońca,Polska,,11.07.1998,27,30,2353,1,,5,,1,,1,,,,,,1,,,
24,Michał Bednarski,,pomocnik,Polska,,31.01.2000,26,4,176,0,,,,0,,,,,,,,,,,
24,Piotr Twardosz,(M),obrońca,Polska,,02.06.2007,19,0,0,0,,,,0,,,,,,,,,,,
25,Richard Nagy,,obrońca,Słowacja,,10.08.2000,25,9,779,0,,2,,0,,,,,,,,,,,
28,Kornel Osyra,,obrońca,Polska,,07.02.1993,33,3,81,0,,1,,0,,,,,,,,,,,
28,Jarosław Czerwik,(M),pomocnik,Polska,,16.06.2008,18,7,255,1,,2,,1,,,,,,,,1,,,
33,Bartosz Bieroński,(M),napastnik,Polska,,10.05.2006,20,14,456,0,,2,,0,,,,,,,,,,,
37,Oskar Tomczyk,(M),napastnik,Polska,,25.01.2006,20,16,1005,2,3,2,,5,,1,,1,,,,1,1,,
43,Krystian Wieczorek,,bramkarz,Polska,,22.07.2002,23,8,663,0,,1,,0,,,,,,,,,,"3,37",
66,Miłosz Kozik,,obrońca,Polska,,18.12.2004,21,2,106,1,,1,,1,,,,,,,,1,,,
77,Bartosz Florek,,pomocnik,Polska,,06.08.2004,21,7,222,0,,,,0,,,,,,,,,,,
80,Unai Buján,,pomocnik,Hiszpania,,08.02.2001,25,10,336,0,,1,,0,,1,,,,,,,,,
84,Bartosz Martosz,(M),napastnik,Polska,,11.11.2006,19,35,1642,3,3,3,,6,,,,1,,,,2,1,,
90,Lucjan Klisiewicz,,napastnik,Polska,,20.04.2002,24,32,1954,14,4,5,,18,,1,,1,3,,3,1,10,,
98,Wojciech Słomka,,pomocnik,Polska,,04.11.1998,27,24,1207,1,2,4,,3,,5,,,,,,1,,,
99,Szymon Brańczyk,(M),bramkarz,Polska,,13.08.2006,19,5,450,0,,,,0,,,,,,,,,,2,
11,Krzysztof Wiesner,(M),pomocnik,Polska,,13.10.2009,16,1,9,0,,,,0,,,,,,,,,,,
